Fecha,LluviaDiariaSantaFe,LluviaDiariaBuenosAires,LluviaDiariaCordoba,CotizacionDolar,PrecioPromedioDiarioMaizUSD,SuperficieSembradaMaizSantaFe,SuperficieSembradaMaizBuenosAires,SuperficieSembradaMaizCordoba,SuperficieCosechadaMaizSantaFe,SuperficieCosechadaMaizBuenosAires,SuperficieCosechadaMaizCordoba,ProduccionMaizSantaFe,ProduccionMaizBuenosAires,ProduccionMaizCordoba,RendimientoMaizSantaFe,RendimientoMaizBuenosAires,RendimientoMaizCordoba,PromedioIncendiosMensualesSantaFe,PromedioIncendiosMensualesBuenosAires,PromedioIncendioMensualesCordoba,VariacionMaizDiaAnterior,VariacionMaizTresDia,VariacionMaizSieteDias,LluviaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaTreintaDiasSantaFe,LluviaDiariaAcumuladaTreintaDiasBuenosAires,LluviaDiariaAcumuladaTreintaDiasCordoba,LluviaDiariaAcumuladaCuarentaCincoDiasSantaFe,LluviaDiariaAcumuladaCuarentaCincoDiasBuenosAires,LluviaDiariaAcumuladaCuarentaCincoDiasCordoba,LluviaDiariaAcumuladaSesentaDiasSantaFe,LluviaDiariaAcumuladaSesentaDiasBuenosAires,LluviaDiariaAcumuladaSesentaDiasCordoba,PrecioPromedioTreintaDiasMaiz,PrecioPromedioSesentaDiasMaiz,PrecioPromedioNoventaDiasMaiz,PrecioRealDiaSiguiente
20000207,5.0000,0.0000,0.0000,1.0000,85.0000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,-0.004683840749414519906323185,-0.0127758420441347270615563298,-0.0461686437960884899006091696,12.4000,10.0000,0.0000,12.4000,10.0000,0.0000,78.9000,93.0000,0.0000,78.9000,93.0000,0.0000,78.9000,93.0000,0.0000,89.2000,90.3466,90.3466,87.9000
20000208,7.5000,0.0000,0.0000,1.0000,84.0000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,-0.0117647058823529411764705882,-0.0243902439024390243902439024,-0.0500807754442649434571890146,17.4000,10.0000,0.0000,17.4000,10.0000,0.0000,83.9000,93.0000,0.0000,83.9000,93.0000,0.0000,83.9000,93.0000,0.0000,89.5541,90.1741,90.1741,86.8000
20000209,0.0000,0.0000,0.0000,1.0000,84.9000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,0.0107142857142857142857142857,0.0011792452830188679245283019,-0.0273322422258592471358428806,24.9000,10.0000,0.0000,24.9000,10.0000,0.0000,91.4000,78.0000,0.0000,91.4000,93.0000,0.0000,91.4000,93.0000,0.0000,90.0125,89.9812,89.9812,86.7000
20000210,2.6000,0.0000,49.0000,1.0000,87.7000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,0.0329799764428739693757361602,0.0362347380858605750295391887,0.0182451484491623818211975452,12.5000,0.0000,0.0000,12.5000,0.0000,0.0000,91.4000,77.5000,0.0000,91.4000,93.0000,0.0000,91.4000,93.0000,0.0000,89.5916,89.8272,89.8272,86.5000
20000211,33.2000,0.0000,19.0000,1.0000,87.5000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,-0.0022805017103762827822120867,0.0229929851909586905689789556,0.0210035005834305717619603267,15.1000,49.0000,0.0000,15.1000,49.0000,0.0000,78.6000,91.0000,0.0000,94.0000,142.0000,0.0000,94.0000,142.0000,0.0000,89.2916,89.7647,89.7647,86.1000
20000214,0.0000,0.0000,0.0000,1.0000,87.9000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,0.0045714285714285714285714286,0.0138408304498269896193771626,0.0214143426294820717131474103,63.2000,68.1000,0.0000,63.2000,68.1000,0.0000,114.5000,109.1000,0.0000,142.1000,161.1000,0.0000,142.1000,161.1000,0.0000,89.1590,89.7000,89.7000,85.9000
20000215,0.0000,0.0000,0.0000,1.0000,86.8000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,-0.0125142207053469852104664391,-0.01026225769669327251995439,0.0086321381142098273572377158,58.2000,68.1000,0.0000,58.2000,68.1000,0.0000,114.5000,109.1000,0.0000,142.1000,161.1000,0.0000,142.1000,161.1000,0.0000,89.1043,89.6500,89.6500,85.9000
20000216,0.0000,0.0000,0.0000,1.0000,86.7000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,-0.0011520737327188940092165899,-0.0080091533180778032036613272,0.0051341503809208347134812852,50.7000,68.1000,0.0000,50.7000,68.1000,0.0000,100.0000,105.6000,0.0000,142.1000,161.1000,0.0000,142.1000,161.1000,0.0000,89.0083,89.5729,89.5729,84.7000
20000217,0.0000,0.0000,0.0000,1.0000,86.5000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,-0.0023068050749711649365628604,-0.0072685539403213465952563121,0,50.7000,68.1000,0.0000,50.7000,68.1000,0.0000,100.0000,105.6000,0.0000,142.1000,161.1000,0.0000,142.1000,161.1000,0.0000,88.9166,89.4973,89.4973,85.0000
20000218,0.0000,0.0000,0.0000,1.0000,86.1000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,-0.0046242774566473988439306358,-0.0065384615384615384615384616,-0.0087171052631578947368421053,48.1000,19.1000,0.0000,48.1000,19.1000,0.0000,100.0000,105.6000,0.0000,142.1000,161.1000,0.0000,142.1000,161.1000,0.0000,88.8166,89.4205,89.4205,84.7000
20000221,1.5000,0.0000,0.0000,1.0000,85.9000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,-0.0023228803716608594657375145,-0.0061704589278827612803702275,-0.0129678266579120157583716349,8.0000,0.0000,0.0000,8.0000,0.0000,0.0000,92.2000,105.6000,0.0000,150.1000,161.1000,0.0000,150.1000,161.1000,0.0000,88.5090,89.3375,89.3375,84.4000
20000222,0.0000,0.0000,0.0000,1.0000,85.9000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,0,-0.0030947775628626692456479691,-0.0100428054000658544616397761,9.5000,0.0000,0.0000,9.5000,0.0000,0.0000,93.6000,105.6000,0.0000,151.6000,161.1000,0.0000,151.6000,161.1000,0.0000,88.3956,89.2536,89.2536,84.1000
20000223,0.0000,0.0000,0.0000,1.0000,84.7000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,-0.0139697322467986030267753201,-0.0147343931756494765412950756,-0.021294156487289534499834929,9.5000,0.0000,0.0000,9.5000,0.0000,0.0000,92.2000,79.1000,0.0000,151.6000,161.1000,0.0000,151.6000,161.1000,0.0000,88.2916,89.1738,89.1738,84.3000
20000224,1.4000,0.0000,0.7000,1.0000,85.0000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,0.0035419126328217237308146399,-0.0058479532163742690058479532,-0.0126120146033853302356455361,9.5000,0.0000,0.0000,9.5000,0.0000,0.0000,85.2000,78.1000,0.0000,151.6000,146.1000,0.0000,151.6000,161.1000,0.0000,87.9791,89.0697,89.0697,84.0000
20000225,2.0000,0.0000,0.0000,1.0000,84.7000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,-0.0035294117647058823529411765,-0.0058685446009389671361502347,-0.0131491344873501997336884155,10.9000,0.7000,0.0000,10.9000,0.7000,0.0000,86.6000,78.8000,0.0000,153.0000,146.3000,0.0000,153.0000,161.8000,0.0000,87.5833,88.9772,88.9772,84.9000
